¸ñÍø±àºÅ,wkt×ø±ê
12,"MULTIPOLYGON (((433943.69714851433 4393540.4441694766, 434943.69714851433 4393540.4441694766, 434943.69714851433 4394540.4441694766, 433943.69714851433 4394540.4441694766, 433943.69714851433 4393540.4441694766)))"
13,"MULTIPOLYGON (((434943.69714851433 4393540.4441694766, 435943.69714851433 4393540.4441694766, 435943.69714851433 4394540.4441694766, 434943.69714851433 4394540.4441694766, 434943.69714851433 4393540.4441694766)))"
14,"MULTIPOLYGON (((435943.69714851433 4393540.4441694766, 436943.69714851433 4393540.4441694766, 436943.69714851433 4394540.4441694766, 435943.69714851433 4394540.4441694766, 435943.69714851433 4393540.4441694766)))"
15,"MULTIPOLYGON (((436943.69714851433 4393540.4441694766, 437943.69714851433 4393540.4441694766, 437943.69714851433 4394540.4441694766, 436943.69714851433 4394540.4441694766, 436943.69714851433 4393540.4441694766)))"
16,"MULTIPOLYGON (((437943.69714851433 4393540.4441694766, 438943.69714851433 4393540.4441694766, 438943.69714851433 4394540.4441694766, 437943.69714851433 4394540.4441694766, 437943.69714851433 4393540.4441694766)))"
17,"MULTIPOLYGON (((438943.69714851433 4393540.4441694766, 439943.69714851433 4393540.4441694766, 439943.69714851433 4394540.4441694766, 438943.69714851433 4394540.4441694766, 438943.69714851433 4393540.4441694766)))"
18,"MULTIPOLYGON (((439943.69714851433 4393540.4441694766, 440943.69714851433 4393540.4441694766, 440943.69714851433 4394540.4441694766, 439943.69714851433 4394540.4441694766, 439943.69714851433 4393540.4441694766)))"
53,"MULTIPOLYGON (((421943.69714851433 4394540.4441694766, 422943.69714851433 4394540.4441694766, 422943.69714851433 4395540.4441694766, 421943.69714851433 4395540.4441694766, 421943.69714851433 4394540.4441694766)))"
54,"MULTIPOLYGON (((422943.69714851433 4394540.4441694766, 423943.69714851433 4394540.4441694766, 423943.69714851433 4395540.4441694766, 422943.69714851433 4395540.4441694766, 422943.69714851433 4394540.4441694766)))"
55,"MULTIPOLYGON (((423943.69714851433 4394540.4441694766, 424943.69714851433 4394540.4441694766, 424943.69714851433 4395540.4441694766, 423943.69714851433 4395540.4441694766, 423943.69714851433 4394540.4441694766)))"
56,"MULTIPOLYGON (((424943.69714851433 4394540.4441694766, 425943.69714851433 4394540.4441694766, 425943.69714851433 4395540.4441694766, 424943.69714851433 4395540.4441694766, 424943.69714851433 4394540.4441694766)))"
57,"MULTIPOLYGON (((425943.69714851433 4394540.4441694766, 426943.69714851433 4394540.4441694766, 426943.69714851433 4395540.4441694766, 425943.69714851433 4395540.4441694766, 425943.69714851433 4394540.4441694766)))"
58,"MULTIPOLYGON (((426943.69714851433 4394540.4441694766, 427943.69714851433 4394540.4441694766, 427943.69714851433 4395540.4441694766, 426943.69714851433 4395540.4441694766, 426943.69714851433 4394540.4441694766)))"
59,"MULTIPOLYGON (((427943.69714851433 4394540.4441694766, 428943.69714851433 4394540.4441694766, 428943.69714851433 4395540.4441694766, 427943.69714851433 4395540.4441694766, 427943.69714851433 4394540.4441694766)))"
60,"MULTIPOLYGON (((428943.69714851433 4394540.4441694766, 429943.69714851433 4394540.4441694766, 429943.69714851433 4395540.4441694766, 428943.69714851433 4395540.4441694766, 428943.69714851433 4394540.4441694766)))"
61,"MULTIPOLYGON (((429943.69714851433 4394540.4441694766, 430943.69714851433 4394540.4441694766, 430943.69714851433 4395540.4441694766, 429943.69714851433 4395540.4441694766, 429943.69714851433 4394540.4441694766)))"
62,"MULTIPOLYGON (((430943.69714851433 4394540.4441694766, 431943.69714851433 4394540.4441694766, 431943.69714851433 4395540.4441694766, 430943.69714851433 4395540.4441694766, 430943.69714851433 4394540.4441694766)))"
63,"MULTIPOLYGON (((431943.69714851433 4394540.4441694766, 432943.69714851433 4394540.4441694766, 432943.69714851433 4395540.4441694766, 431943.69714851433 4395540.4441694766, 431943.69714851433 4394540.4441694766)))"
64,"MULTIPOLYGON (((432943.69714851433 4394540.4441694766, 433943.69714851433 4394540.4441694766, 433943.69714851433 4395540.4441694766, 432943.69714851433 4395540.4441694766, 432943.69714851433 4394540.4441694766)))"
65,"MULTIPOLYGON (((433943.69714851433 4394540.4441694766, 434943.69714851433 4394540.4441694766, 434943.69714851433 4395540.4441694766, 433943.69714851433 4395540.4441694766, 433943.69714851433 4394540.4441694766)))"
66,"MULTIPOLYGON (((434943.69714851433 4394540.4441694766, 435943.69714851433 4394540.4441694766, 435943.69714851433 4395540.4441694766, 434943.69714851433 4395540.4441694766, 434943.69714851433 4394540.4441694766)))"
67,"MULTIPOLYGON (((435943.69714851433 4394540.4441694766, 436943.69714851433 4394540.4441694766, 436943.69714851433 4395540.4441694766, 435943.69714851433 4395540.4441694766, 435943.69714851433 4394540.4441694766)))"
68,"MULTIPOLYGON (((436943.69714851433 4394540.4441694766, 437943.69714851433 4394540.4441694766, 437943.69714851433 4395540.4441694766, 436943.69714851433 4395540.4441694766, 436943.69714851433 4394540.4441694766)))"
69,"MULTIPOLYGON (((437943.69714851433 4394540.4441694766, 438943.69714851433 4394540.4441694766, 438943.69714851433 4395540.4441694766, 437943.69714851433 4395540.4441694766, 437943.69714851433 4394540.4441694766)))"
