stationID,x_cor,y_cor
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
53,0,1
54,1,1
55,2,1
56,3,1
57,4,1
58,5,1
59,6,1
60,7,1
61,8,1
62,9,1
63,10,1
64,11,1
65,12,1
66,13,1
67,14,1
68,15,1
69,16,1
70,17,1
71,18,1
72,19,1
73,20,1
74,21,1
106,0,2
107,1,2
108,2,2
109,3,2
110,4,2
111,5,2
112,6,2
113,7,2
114,8,2
115,9,2
116,10,2
117,11,2
118,12,2
119,13,2
120,14,2
121,15,2
122,16,2
123,17,2
124,18,2
125,19,2
126,20,2
127,21,2
128,22,2
129,23,2
159,0,3
160,1,3
161,2,3
162,3,3
163,4,3
164,5,3
165,6,3
166,7,3
167,8,3
168,9,3
169,10,3
170,11,3
171,12,3
172,13,3
173,14,3
174,15,3
175,16,3
176,17,3
177,18,3
178,19,3
179,20,3
180,21,3
181,22,3
182,23,3
183,24,3
184,25,3
185,26,3
186,27,3
187,28,3
188,29,3
212,0,4
213,1,4
214,2,4
215,3,4
216,4,4
217,5,4
218,6,4
219,7,4
220,8,4
221,9,4
222,10,4
223,11,4
224,12,4
225,13,4
226,14,4
227,15,4
228,16,4
229,17,4
230,18,4
231,19,4
232,20,4
233,21,4
234,22,4
235,23,4
236,24,4
237,25,4
238,26,4
239,27,4
240,28,4
241,29,4
242,30,4
243,31,4
244,32,4
245,33,4
265,0,5
266,1,5
267,2,5
268,3,5
269,4,5
270,5,5
271,6,5
272,7,5
273,8,5
274,9,5
275,10,5
276,11,5
277,12,5
278,13,5
279,14,5
280,15,5
281,16,5
282,17,5
283,18,5
284,19,5
285,20,5
286,21,5
287,22,5
288,23,5
289,24,5
290,25,5
291,26,5
292,27,5
293,28,5
294,29,5
295,30,5
296,31,5
297,32,5
298,33,5
299,34,5
300,35,5
301,36,5
318,0,6
319,1,6
320,2,6
321,3,6
322,4,6
323,5,6
324,6,6
325,7,6
326,8,6
327,9,6
328,10,6
329,11,6
330,12,6
331,13,6
332,14,6
333,15,6
334,16,6
335,17,6
336,18,6
337,19,6
338,20,6
339,21,6
340,22,6
341,23,6
342,24,6
343,25,6
344,26,6
345,27,6
346,28,6
347,29,6
348,30,6
349,31,6
350,32,6
351,33,6
352,34,6
353,35,6
354,36,6
355,37,6
356,38,6
357,39,6
372,1,7
373,2,7
374,3,7
375,4,7
376,5,7
377,6,7
378,7,7
379,8,7
380,9,7
381,10,7
382,11,7
383,12,7
384,13,7
385,14,7
386,15,7
387,16,7
388,17,7
389,18,7
390,19,7
391,20,7
392,21,7
393,22,7
394,23,7
395,24,7
396,25,7
397,26,7
398,27,7
399,28,7
400,29,7
401,30,7
402,31,7
403,32,7
404,33,7
405,34,7
406,35,7
407,36,7
408,37,7
409,38,7
410,39,7
411,40,7
412,41,7
413,42,7
425,1,8
426,2,8
427,3,8
428,4,8
429,5,8
430,6,8
431,7,8
432,8,8
433,9,8
434,10,8
435,11,8
436,12,8
437,13,8
438,14,8
439,15,8
440,16,8
441,17,8
442,18,8
443,19,8
444,20,8
445,21,8
446,22,8
447,23,8
448,24,8
449,25,8
450,26,8
451,27,8
452,28,8
453,29,8
454,30,8
455,31,8
456,32,8
457,33,8
458,34,8
459,35,8
460,36,8
461,37,8
462,38,8
463,39,8
464,40,8
465,41,8
466,42,8
467,43,8
468,44,8
478,1,9
479,2,9
480,3,9
481,4,9
482,5,9
483,6,9
484,7,9
485,8,9
486,9,9
487,10,9
488,11,9
489,12,9
490,13,9
491,14,9
492,15,9
493,16,9
494,17,9
495,18,9
496,19,9
497,20,9
498,21,9
499,22,9
500,23,9
501,24,9
502,25,9
503,26,9
504,27,9
505,28,9
506,29,9
507,30,9
508,31,9
509,32,9
510,33,9
511,34,9
512,35,9
513,36,9
514,37,9
515,38,9
516,39,9
517,40,9
518,41,9
519,42,9
520,43,9
521,44,9
532,2,10
533,3,10
534,4,10
535,5,10
536,6,10
537,7,10
538,8,10
539,9,10
540,10,10
541,11,10
542,12,10
543,13,10
544,14,10
545,15,10
546,16,10
547,17,10
548,18,10
549,19,10
